claim,gold_label,retrieved_evidence,retrieval_sim,formatted_text,deberta_prob,deberta_pred
Carriers of HNF4A mutations are at reduced risk for diabetes.,,Macrosomia and Hyperinsulinaemic Hypoglycaemia in Patients with Heterozygous Mutations in the HNF4A Gene. Background  Macrosomia is associated with considerable neonatal and maternal morbidity. Factor,0.9418171048164368,"Question: Carriers of HNF4A mutations are at reduced risk for diabetes.
Knowledge: Macrosomia and Hyperinsulinaemic Hypoglycaemia in Patients with Heterozygous Mutations in the HNF4A Gene. Background  Macrosomia is associated with considerable neonatal and maternal morbidity. Factors that predict macrosomia are poorly understood. The increased rate of macrosomia in the offspring of pregnant women with diabetes and in congenital hyperinsulinaemia is mediated by increased foetal insulin secretion. We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice.

Answer: Carriers of HNF4A mutations are at reduced risk for diabetes.",0.9996330738067627,1
Cell autonomous sex determination in somatic cells occurs in Galliformes.,SUPPORT,"Somatic sex identity is cell-autonomous in the chicken. In the mammalian model of sex determination, embryos are considered to be sexually indifferent until the transient action of a sex-determining g",0.9394317865371704,"Question: Cell autonomous sex determination in somatic cells occurs in Galliformes.
Knowledge: Somatic sex identity is cell-autonomous in the chicken. In the mammalian model of sex determination, embryos are considered to be sexually indifferent until the transient action of a sex-determining gene initiates gonadal differentiation. Although this model is thought to apply to all vertebrates, this has yet to be established. Here we have examined three lateral gynandromorph chickens (a rare, naturally occurring phenomenon in which one side of the animal appears male and the other female) to investigate the sex-determining mechanism in birds. These studies demonstrated that gynandromorph birds are genuine male:female chimaeras, and indicated that male and female avian somatic cells may have an inherent sex identity. To test this hypothesis, we transplanted presumptive mesoderm between embryos of reciprocal sexes to generate embryos containing male:female chimaeric gonads. In contrast to the outcome for mammalian mixed-sex chimaeras, in chicken mixed-sex chimaeras the donor cells were excluded from the functional structures of the host gonad. In an example where female tissue was transplanted into a male host, donor cells contributing to the developing testis retained a female identity and expressed a marker of female function. Our study demonstrates that avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous.

Answer: Cell autonomous sex determination in somatic cells occurs in Galliformes.",0.9996329545974731,1
Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,SUPPORT,Robust synchronization of coupled circadian and cell cycle oscillators in single mammalian cells. Circadian cycles and cell cycles are two fundamental periodic processes with a period in the range of ,0.9362970590591431,"Question: Cellular clocks are associated with mitosis timing in NIH 3T3 cells.
Knowledge: Robust synchronization of coupled circadian and cell cycle oscillators in single mammalian cells. Circadian cycles and cell cycles are two fundamental periodic processes with a period in the range of 1 day. Consequently, coupling between such cycles can lead to synchronization. Here, we estimated the mutual interactions between the two oscillators by time-lapse imaging of single mammalian NIH3T3 fibroblasts during several days. The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression. In principle, such synchrony may be caused by either unidirectional or bidirectional coupling. While gating of cell division by the circadian cycle has been most studied, our data combined with stochastic modeling unambiguously show that the reverse coupling is predominant in NIH3T3 cells. Moreover, temperature, genetic, and pharmacological perturbations showed that the two interacting cellular oscillators adopt a synchronized state that is highly robust over a wide range of parameters. These findings have implications for circadian function in proliferative tissues, including epidermis, immune cells, and cancer.

Answer: Cellular clocks are associated with mitosis timing in NIH 3T3 cells.",0.9996329545974731,1
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,CONTRADICT,Robust synchronization of coupled circadian and cell cycle oscillators in single mammalian cells. Circadian cycles and cell cycles are two fundamental periodic processes with a period in the range of ,0.9235509634017944,"Question: Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.
Knowledge: Robust synchronization of coupled circadian and cell cycle oscillators in single mammalian cells. Circadian cycles and cell cycles are two fundamental periodic processes with a period in the range of 1 day. Consequently, coupling between such cycles can lead to synchronization. Here, we estimated the mutual interactions between the two oscillators by time-lapse imaging of single mammalian NIH3T3 fibroblasts during several days. The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression. In principle, such synchrony may be caused by either unidirectional or bidirectional coupling. While gating of cell division by the circadian cycle has been most studied, our data combined with stochastic modeling unambiguously show that the reverse coupling is predominant in NIH3T3 cells. Moreover, temperature, genetic, and pharmacological perturbations showed that the two interacting cellular oscillators adopt a synchronized state that is highly robust over a wide range of parameters. These findings have implications for circadian function in proliferative tissues, including epidermis, immune cells, and cancer.

Answer: Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.",0.9996329545974731,1
"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",SUPPORT,Global Reorganization of Replication Domains During Embryonic Stem Cell Differentiation. DNA replication in mammals is regulated via the coordinate firing of clusters of replicons that duplicate megab,0.9587408304214478,"Question: Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.
Knowledge: Global Reorganization of Replication Domains During Embryonic Stem Cell Differentiation. DNA replication in mammals is regulated via the coordinate firing of clusters of replicons that duplicate megabase-sized chromosome segments at specific times during S-phase. Cytogenetic studies show that these ""replicon clusters"" coalesce as subchromosomal units that persist through multiple cell generations, but the molecular boundaries of such units have remained elusive. Moreover, the extent to which changes in replication timing occur during differentiation and their relationship to transcription changes has not been rigorously investigated. We have constructed high-resolution replication-timing profiles in mouse embryonic stem cells (mESCs) before and after differentiation to neural precursor cells. We demonstrate that chromosomes can be segmented into multimegabase domains of coordinate replication, which we call ""replication domains,"" separated by transition regions whose replication kinetics are consistent with large originless segments. The molecular boundaries of replication domains are remarkably well conserved between distantly related ESC lines and induced pluripotent stem cells. Unexpectedly, ESC differentiation was accompanied by the consolidation of smaller differentially replicating domains into larger coordinately replicated units whose replication time was more aligned to isochore GC content and the density of LINE-1 transposable elements, but not gene density. Replica

Answer: Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",0.9996321201324463,1
Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.,,High-Density Lipoproteins Exert Pro-inflammatory Effects on Macrophages via Passive Cholesterol Depletion and PKC-NF-κB/STAT1-IRF1 Signaling.. Membrane cholesterol modulates a variety of cell signalin,0.9399426579475403,"Question: Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.
Knowledge: High-Density Lipoproteins Exert Pro-inflammatory Effects on Macrophages via Passive Cholesterol Depletion and PKC-NF-κB/STAT1-IRF1 Signaling.. Membrane cholesterol modulates a variety of cell signaling pathways and functions. While cholesterol depletion by high-density lipoproteins (HDLs) has potent anti-inflammatory effects in various cell types, its effects on inflammatory responses in macrophages remain elusive. Here we show overt pro-inflammatory effects of HDL-mediated passive cholesterol depletion and lipid raft disruption in murine and human primary macrophages in vitro. These pro-inflammatory effects were confirmed in vivo in peritoneal macrophages from apoA-I transgenic mice, which have elevated HDL levels. In line with these findings, the innate immune responses required for clearance of P. aeruginosa bacterial infection in lung were compromised in mice with low HDL levels. Expression analysis, ChIP-PCR, and combinatorial pharmacological and genetic intervention studies unveiled that both native and reconstituted HDL enhance Toll-like-receptor-induced signaling by activating a PKC-NF-κB/STAT1-IRF1 axis, leading to increased inflammatory cytokine expression. HDL's pro-inflammatory activity supports proper functioning of macrophage immune responses.

Answer: Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.",0.9996316432952881,1
Charcoal is an effective treatment for acute paraquat poisoning.,CONTRADICT,"Survival in a case of massive paraquat ingestion.. Serious exposure to the herbicide paraquat usually results in death, either due to gastrointestinal caustic lesions, shock, and acute respiratory dis",0.9377668499946594,"Question: Charcoal is an effective treatment for acute paraquat poisoning.
Knowledge: Survival in a case of massive paraquat ingestion.. Serious exposure to the herbicide paraquat usually results in death, either due to gastrointestinal caustic lesions, shock, and acute respiratory distress syndrome or related to the progressive development of pulmonary fibrosis associated with refractory hypoxemia. We report a case of suicidal paraquat ingestion in a 59-year-old man. Most of the indicators of poor prognosis were encountered in this patient. Treatment consisted of early digestive decontamination and hemodialysis, followed by antioxidant therapy, including the administration of deferoxamine (100 mg/kg in 24 h) and a continuous infusion of acetylcysteine (300 mg/kg/d during 3 weeks). The patient only developed a nonoliguric acute renal failure, a mild alteration of liver tests, and an impairment of CO transfer factor without any respiratory complaint. Renal and hepatic disturbances completely resolved within 1 month, whereas CO transfer factor remained altered 14 months later. This observation suggests that early administration of an antioxidant therapy, including deferoxamine and acetylcysteine could be usefully associated with measures that prevent digestive absorption or enhance elimination to limit systemic toxicity in potentially fatal paraquat poisoning.

Answer: Charcoal is an effective treatment for acute paraquat poisoning.",0.9996331930160522,1
Charcoal shows no benefit for acute paraquat poisoning.,SUPPORT,"Survival in a case of massive paraquat ingestion.. Serious exposure to the herbicide paraquat usually results in death, either due to gastrointestinal caustic lesions, shock, and acute respiratory dis",0.9328902959823608,"Question: Charcoal shows no benefit for acute paraquat poisoning.
Knowledge: Survival in a case of massive paraquat ingestion.. Serious exposure to the herbicide paraquat usually results in death, either due to gastrointestinal caustic lesions, shock, and acute respiratory distress syndrome or related to the progressive development of pulmonary fibrosis associated with refractory hypoxemia. We report a case of suicidal paraquat ingestion in a 59-year-old man. Most of the indicators of poor prognosis were encountered in this patient. Treatment consisted of early digestive decontamination and hemodialysis, followed by antioxidant therapy, including the administration of deferoxamine (100 mg/kg in 24 h) and a continuous infusion of acetylcysteine (300 mg/kg/d during 3 weeks). The patient only developed a nonoliguric acute renal failure, a mild alteration of liver tests, and an impairment of CO transfer factor without any respiratory complaint. Renal and hepatic disturbances completely resolved within 1 month, whereas CO transfer factor remained altered 14 months later. This observation suggests that early administration of an antioxidant therapy, including deferoxamine and acetylcysteine could be usefully associated with measures that prevent digestive absorption or enhance elimination to limit systemic toxicity in potentially fatal paraquat poisoning.

Answer: Charcoal shows no benefit for acute paraquat poisoning.",0.9996330738067627,1
Chemical injury represses transglutaminase 2 activity.,,"Transglutaminase 2 Undergoes a Large Conformational Change upon Activation . Human transglutaminase 2 (TG2), a member of a large family of enzymes that catalyze protein crosslinking, plays an importan",0.9249476790428162,"Question: Chemical injury represses transglutaminase 2 activity.
Knowledge: Transglutaminase 2 Undergoes a Large Conformational Change upon Activation . Human transglutaminase 2 (TG2), a member of a large family of enzymes that catalyze protein crosslinking, plays an important role in the extracellular matrix biology of many tissues and is implicated in the gluten-induced pathogenesis of celiac sprue. Although vertebrate transglutaminases have been studied extensively, thus far all structurally characterized members of this family have been crystallized in conformations with inaccessible active sites. We have trapped human TG2 in complex with an inhibitor that mimics inflammatory gluten peptide substrates and have solved, at 2-A resolution, its x-ray crystal structure. The inhibitor stabilizes TG2 in an extended conformation that is dramatically different from earlier transglutaminase structures. The active site is exposed, revealing that catalysis takes place in a tunnel, bridged by two tryptophan residues that separate acyl-donor from acyl-acceptor and stabilize the tetrahedral reaction intermediates. Site-directed mutagenesis was used to investigate the acyl-acceptor side of the tunnel, yielding mutants with a marked increase in preference for hydrolysis over transamidation. By providing the ability to visualize this activated conformer, our results create a foundation for understanding the catalytic as well as the non-catalytic roles of TG2 in biology, and for dissecting the process by which the autoantibody response to TG2 is induced in celiac s

Answer: Chemical injury represses transglutaminase 2 activity.",0.9996316432952881,1
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,CONTRADICT,The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.. The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with th,0.9664739966392517,"Question: Chenodeoxycholic acid treatment decreases brown adipose tissue activity.
Knowledge: The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.. The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with the discovery of functional BAT in humans. In rodents, BAT can be activated by bile acids, which activate type 2 iodothyronine deiodinase (D2) in BAT via the G-coupled protein receptor TGR5, resulting in increased oxygen consumption and energy expenditure. Here we examined the effects of oral supplementation of the bile acid chenodeoxycholic acid (CDCA) on human BAT activity. Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity. Whole-body energy expenditure was also increased upon CDCA treatment. In vitro treatment of primary human brown adipocytes derived with CDCA or specific TGR5 agonists increased mitochondrial uncoupling and D2 expression, an effect that was absent in human primary white adipocytes. These findings identify bile acids as a target to activate BAT in humans.

Answer: Chenodeoxycholic acid treatment decreases brown adipose tissue activity.",0.999632716178894,1
Chenodeoxycholic acid treatment increases brown adipose tissue activity.,SUPPORT,The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.. The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with th,0.9680867195129395,"Question: Chenodeoxycholic acid treatment increases brown adipose tissue activity.
Knowledge: The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.. The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with the discovery of functional BAT in humans. In rodents, BAT can be activated by bile acids, which activate type 2 iodothyronine deiodinase (D2) in BAT via the G-coupled protein receptor TGR5, resulting in increased oxygen consumption and energy expenditure. Here we examined the effects of oral supplementation of the bile acid chenodeoxycholic acid (CDCA) on human BAT activity. Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity. Whole-body energy expenditure was also increased upon CDCA treatment. In vitro treatment of primary human brown adipocytes derived with CDCA or specific TGR5 agonists increased mitochondrial uncoupling and D2 expression, an effect that was absent in human primary white adipocytes. These findings identify bile acids as a target to activate BAT in humans.

Answer: Chenodeoxycholic acid treatment increases brown adipose tissue activity.",0.999632716178894,1
Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.,,"Effect modification by population dietary folate on the association between MTHFR genotype, homocysteine, and stroke risk: a meta-analysis of genetic studies and randomised trials. BACKGROUND The MTHF",0.9492942690849304,"Question: Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.
Knowledge: Effect modification by population dietary folate on the association between MTHFR genotype, homocysteine, and stroke risk: a meta-analysis of genetic studies and randomised trials. BACKGROUND The MTHFR 677C→T polymorphism has been associated with raised homocysteine concentration and increased risk of stroke. A previous overview showed that the effects were greatest in regions with low dietary folate consumption, but differentiation between the effect of folate and small-study bias was difficult. A meta-analysis of randomised trials of homocysteine-lowering interventions showed no reduction in coronary heart disease events or stroke, but the trials were generally set in populations with high folate consumption. We aimed to reduce the effect of small-study bias and investigate whether folate status modifies the association between MTHFR 677C→T and stroke in a genetic analysis and meta-analysis of randomised controlled trials.   
 METHODS We established a collaboration of genetic studies consisting of 237 datasets including 59,995 individuals with data for homocysteine and 20,885 stroke events. We compared the genetic findings with a meta-analysis of 13 randomised trials of homocysteine-lowering treatments and stroke risk (45,549 individuals, 2314 stroke events, 269 transient ischaemic attacks).   
 FINDINGS The effect of the MTHFR 677C→T variant on homocysteine concentration was larger in low folate regions (Asia; difference between individuals with TT versus CC genotype, 3·12

Answer: Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.",0.9996293783187866,1
Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.,,"Effect modification by population dietary folate on the association between MTHFR genotype, homocysteine, and stroke risk: a meta-analysis of genetic studies and randomised trials. BACKGROUND The MTHF",0.9487894773483276,"Question: Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.
Knowledge: Effect modification by population dietary folate on the association between MTHFR genotype, homocysteine, and stroke risk: a meta-analysis of genetic studies and randomised trials. BACKGROUND The MTHFR 677C→T polymorphism has been associated with raised homocysteine concentration and increased risk of stroke. A previous overview showed that the effects were greatest in regions with low dietary folate consumption, but differentiation between the effect of folate and small-study bias was difficult. A meta-analysis of randomised trials of homocysteine-lowering interventions showed no reduction in coronary heart disease events or stroke, but the trials were generally set in populations with high folate consumption. We aimed to reduce the effect of small-study bias and investigate whether folate status modifies the association between MTHFR 677C→T and stroke in a genetic analysis and meta-analysis of randomised controlled trials.   
 METHODS We established a collaboration of genetic studies consisting of 237 datasets including 59,995 individuals with data for homocysteine and 20,885 stroke events. We compared the genetic findings with a meta-analysis of 13 randomised trials of homocysteine-lowering treatments and stroke risk (45,549 individuals, 2314 stroke events, 269 transient ischaemic attacks).   
 FINDINGS The effect of the MTHFR 677C→T variant on homocysteine concentration was larger in low folate regions (Asia; difference between individuals with TT versus CC genotype, 3·12

Answer: Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.",0.9996293783187866,1
Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.,,Patterns of chlamydia testing in different settings and implications for wider STI diagnosis and care: a probability sample survey of the British population. BACKGROUND Following widespread rollout of,0.9407227635383606,"Question: Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.
Knowledge: Patterns of chlamydia testing in different settings and implications for wider STI diagnosis and care: a probability sample survey of the British population. BACKGROUND Following widespread rollout of chlamydia testing to non-specialist and community settings in the UK, many individuals receive a chlamydia test without being offered comprehensive STI and HIV testing. We assess sexual behaviour among testers in different settings with a view to understanding their need for other STI diagnostic services.   
 METHODS A probability sample survey of the British population undertaken 2010-2012 (the third National Survey of Sexual Attitudes and Lifestyles). We analysed weighted data on chlamydia testing (past year), including location of most recent test, and diagnoses (past 5 years) from individuals aged 16-44 years reporting at least one sexual partner in the past year (4992 women, 3406 men).   
 RESULTS Of the 26.8% (95% CI 25.4% to 28.2%) of women and 16.7% (15.5% to 18.1%) of men reporting a chlamydia test in the past year, 28.4% of women and 41.2% of men had tested in genitourinary medicine (GUM), 41.1% and 20.7% of women and men respectively tested in general practice (GP) and the remainder tested in other non-GUM settings. Women tested outside GUM were more likely to be older, in a relationship and to live in rural areas. Individuals tested outside GUM reported fewer risk behaviours; nevertheless, 11.0% (8.6% to 14.1%) of women and 6.8% (3.9% to 11.6%) of men tested in GP an

Answer: Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.",0.9996110796928406,1
Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,SUPPORT,Patterns of chlamydia testing in different settings and implications for wider STI diagnosis and care: a probability sample survey of the British population. BACKGROUND Following widespread rollout of,0.9426027536392212,"Question: Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.
Knowledge: Patterns of chlamydia testing in different settings and implications for wider STI diagnosis and care: a probability sample survey of the British population. BACKGROUND Following widespread rollout of chlamydia testing to non-specialist and community settings in the UK, many individuals receive a chlamydia test without being offered comprehensive STI and HIV testing. We assess sexual behaviour among testers in different settings with a view to understanding their need for other STI diagnostic services.   
 METHODS A probability sample survey of the British population undertaken 2010-2012 (the third National Survey of Sexual Attitudes and Lifestyles). We analysed weighted data on chlamydia testing (past year), including location of most recent test, and diagnoses (past 5 years) from individuals aged 16-44 years reporting at least one sexual partner in the past year (4992 women, 3406 men).   
 RESULTS Of the 26.8% (95% CI 25.4% to 28.2%) of women and 16.7% (15.5% to 18.1%) of men reporting a chlamydia test in the past year, 28.4% of women and 41.2% of men had tested in genitourinary medicine (GUM), 41.1% and 20.7% of women and men respectively tested in general practice (GP) and the remainder tested in other non-GUM settings. Women tested outside GUM were more likely to be older, in a relationship and to live in rural areas. Individuals tested outside GUM reported fewer risk behaviours; nevertheless, 11.0% (8.6% to 14.1%) of women and 6.8% (3.9% to 11.6%) of men tested in GP an

Answer: Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.",0.9996094107627869,1
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",SUPPORT,KLF4-dependent phenotypic modulation of smooth muscle cells has a key role in atherosclerotic plaque pathogenesis. Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages,0.9442399144172668,"Question: Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.
Knowledge: KLF4-dependent phenotypic modulation of smooth muscle cells has a key role in atherosclerotic plaque pathogenesis. Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types. Here, using Myh11-CreERT2 ROSA floxed STOP eYFP Apoe−/− mice to perform SMC lineage tracing, we find that traditional methods for detecting SMCs based on immunostaining for SMC markers fail to detect >80% of SMC-derived cells within advanced atherosclerotic lesions. These unidentified SMC-derived cells exhibit phenotypes of other cell lineages, including macrophages and mesenchymal stem cells (MSCs). SMC-specific conditional knockout of Krüppel-like factor 4 (Klf4) resulted in reduced numbers of SMC-derived MSC- and macrophage-like cells, a marked reduction in lesion size, and increases in multiple indices of plaque stability, including an increase in fibrous cap thickness as compared to wild-type controls. On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs. Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critic

Answer: Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",0.9996324777603149,1
Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.,,Decoupling activation and exhaustion of B cells in spontaneous controllers of HIV infection.. OBJECTIVE To define the impact of chronic viremia and associated immune activation on B-cell exhaustion in,0.9533365964889526,"Question: Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.
Knowledge: Decoupling activation and exhaustion of B cells in spontaneous controllers of HIV infection.. OBJECTIVE To define the impact of chronic viremia and associated immune activation on B-cell exhaustion in HIV infection.   
 DESIGN Progressive HIV infection is marked by B-cell anergy and exhaustion coupled with dramatic hypergammaglobulinemia. Although both upregulation of CD95 and loss of CD21 have been used as markers of infection-associated B-cell dysfunction, little is known regarding the specific profiles of dysfunctional B cells and whether persistent viral replication and its associated immune activation play a central role in driving B-cell dysfunction.   
 METHODS Multiparameter flow cytometry was used to define the profile of dysfunctional B cells. The changes in the expression of CD21 and CD95 were tracked on B-cell subpopulations in patients with differential control of viral replication.   
 RESULTS : Although the emergence of exhausted, CD21 tissue-like memory B cells followed similar patterns in both progressors and controllers, the frequency of CD21 activated memory B cells was lower in spontaneous controllers.   
 CONCLUSION Our results suggest that the loss of CD21 and the upregulation of CD95 occur as separate events during the development of B-cell dysfunction. The loss of CD21 is a marker of B-cell exhaustion induced in the absence of appreciable viral replication, whereas the upregulation of CD95 is tightly linked to persistent viral replication and its assoc

Answer: Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.",0.9996317625045776,1
Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.,,Gene regulation by the act of long non-coding RNA transcription. Long non-protein-coding RNAs (lncRNAs) are proposed to be the largest transcript class in the mouse and human transcriptomes. Two impor,0.9539758563041687,"Question: Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.
Knowledge: Gene regulation by the act of long non-coding RNA transcription. Long non-protein-coding RNAs (lncRNAs) are proposed to be the largest transcript class in the mouse and human transcriptomes. Two important questions are whether all lncRNAs are functional and how they could exert a function. Several lncRNAs have been shown to function through their product, but this is not the only possible mode of action. In this review we focus on a role for the process of lncRNA transcription, independent of the lncRNA product, in regulating protein-coding-gene activity in cis. We discuss examples where lncRNA transcription leads to gene silencing or activation, and describe strategies to determine if the lncRNA product or its transcription causes the regulatory effect.

Answer: Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.",0.9996328353881836,1
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,CONTRADICT,Antibodies from patients with rheumatoid arthritis target citrullinated histone 4 contained in neutrophils extracellular traps.. BACKGROUND Histone deimination regulates gene function and contributes ,0.9440609216690063,"Question: Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.
Knowledge: Antibodies from patients with rheumatoid arthritis target citrullinated histone 4 contained in neutrophils extracellular traps.. BACKGROUND Histone deimination regulates gene function and contributes to antimicrobial response, allowing the formation of neutrophil extracellular traps (NETs). Deiminated proteins are target of anti-citrullinated peptides antibodies (ACPA) in rheumatoid arthritis (RA).   
 OBJECTIVE The objective of this paper is to test the hypothesis that RA sera react with deiminated histones contained in NETs.   
 METHODS Neutrophils from peripheral blood were stimulated with A23187 and acid treated; NETosis was induced by phorbol myristate acetate, and NET proteins were isolated. Sera were tested by immunoblot on acid extracted proteins from neutrophils and from NETs, and by ELISA on deiminated histone H4 or H4-derived peptides. Bands reactive with RA sera were excised from gels, digested with trypsin and subjected to matrix-assisted laser desorption/ionisation time of flight (MALDI-TOF) analysis, before and after derivatisation to detect citrullinated peptides.   
 RESULTS RA sera reacted with a deiminated antigen of 11 KDa from activated neutrophils, recognised also by anti-H4 and antideiminated H4 antibodies. A similar reactivity was observed with NET proteins. The antigen from neutrophils or NETs was identified as citrullinated H4 by MALDI-TOF analysis. By ELISA, RA sera bound in vitro citrullinated H4. Citrullinated H4 14-34 and 31-50 peptides detected 

Answer: Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.",0.9995961785316467,1
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,SUPPORT,"NETs are a source of citrullinated autoantigens and stimulate inflammatory responses in rheumatoid arthritis.. The early events leading to the development of rheumatoid arthritis (RA) remain unclear, ",0.9510074257850647,"Question: Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.
Knowledge: NETs are a source of citrullinated autoantigens and stimulate inflammatory responses in rheumatoid arthritis.. The early events leading to the development of rheumatoid arthritis (RA) remain unclear, but formation of autoantibodies to citrullinated protein antigens (ACPAs) is considered a key pathogenic event. Neutrophils isolated from patients with various autoimmune diseases display enhanced neutrophil extracellular trap (NET) formation, a phenomenon that exposes autoantigens in the context of immunostimulatory molecules. We investigated whether aberrant NETosis occurs in RA, determined its triggers, and examined its deleterious inflammatory consequences. Enhanced NETosis was observed in circulating and RA synovial fluid neutrophils compared to neutrophils from healthy controls and from patients with osteoarthritis (OA). Further, netting neutrophils infiltrated RA synovial tissue, rheumatoid nodules, and skin. NETosis correlated with ACPA presence and levels and with systemic inflammatory markers. RA sera and immunoglobulin fractions from RA patients with high levels of ACPA and/or rheumatoid factor significantly enhanced NETosis, and the NETs induced by these autoantibodies displayed distinct protein content. Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation. Moreover, the inflammatory cytokines interleukin-17A (IL-17A) and tumor necrosis f

Answer: Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.",0.9996312856674194,1
